r and d ,administration,marketing spend,state,profit
165349,136898,471784,new york,192262
162598,151378,443899,california,191792
153442,101146,407935,florida,191050
144372,118672,383200,new york,182902
142107,91391.8,366168,florida,166188
131877,99814.7,362861,new york,156991
134615,147199,127717,california,156123
130298,145530,323877,florida,155753
120543,148719,311613,new york,152212
123335,108679,304982,california,149760
101913,110594,229161,florida,146122
100672,91790.6,249745,california,144259
93863.8,127320,249839,florida,141586
91992.4,135495,252665,california,134307
